,course_name,course_code,prerequisites_text,antirequisites_text,corequisites_text,precorequisites_text,prerequisites_link,antirequisites_link,corequisites_link,precorequisites_link,description,location,extra_info,weight,category
16,SELECTED TOPICS IN AMERICAN STUDIES,AMERICAN 2231F/G,"[{'text': 'At least 60% in ONE of:', 'isLink': False}, {'text': 'AMERICAN 1020', 'isLink': True}, {'text': ',', 'isLink': False}, {'text': 'the former History 1701E,', 'isLink': False}, {'text': ',', 'isLink': False}, {'text': 'POLISCI 1020E', 'isLink': True}, {'text': ',', 'isLink': False}, {'text': 'ENGLISH 1020E', 'isLink': True}, {'text': ',', 'isLink': False}, {'text': 'ENGLISH 1022E', 'isLink': True}, {'text': ',', 'isLink': False}, {'text': 'ENGLISH 1024E', 'isLink': True}, {'text': ',', 'isLink': False}, {'text': 'or permission of Director of the Centre for American Studies.', 'isLink': False}]",[],[],[],"['ENGLISH 1024E', 'ENGLISH 1022E', 'AMERICAN 1020', 'POLISCI 1020E', 'ENGLISH 1020E']",[],[],[],Consult the Centre for American Studies office for details of current course offerings.,Western Main Campus,3 lecture hours.,0.5,AMERICAN
17,AMERICAN NIGHTMARE: AND INTRODUCTION TO AMERICAN STUDIES,AMERICAN 2310F/G,[],"[{'text': 'HISTORY 2310F/G', 'isLink': True}, {'text': '.', 'isLink': False}]",[],[],[],['HISTORY 2310F/G'],[],[],"In the increasingly polarized culture of the US, one American’s dream often seems to be another American’s nightmare. This course introduces key ideas in American culture (the American Dream, American Exceptionalism, and American Identity), and examines recent socio-political movements such as #Black Lives Matter, #Me Too, and White Nationalism.",Western Main Campus,"2 lecture hours, 1 tutorial hour.",0.5,AMERICAN
18,ADVANCED AMERICAN STUDIES: BEING AMERICAN,AMERICAN 3310F/G,"[{'text': '1.0 History course at the 2200 level or above OR enrolment in an AmericanStudies module.', 'isLink': False}]","[{'text': 'HISTORY 3310F/G', 'isLink': True}, {'text': '.', 'isLink': False}]",[],[],[],['HISTORY 3310F/G'],[],[],"What defines being “American”? How is the American identity constructed, and how and why is it frequently contested? This course employs an interdisciplinary approach to explore the meaning(s) and definition(s) of American identity from multiple viewpoints, and within the context of US history, politics, regions, values, and culture.",Western Main Campus,2 seminar hours.,0.5,AMERICAN
19,SELECTED TOPICS IN AMERICAN STUDIES,AMERICAN 3330F/G,"[{'text': 'At least 60% in ONE of:', 'isLink': False}, {'text': 'AMERICAN 1020', 'isLink': True}, {'text': ',', 'isLink': False}, {'text': 'the former History 1701E,', 'isLink': False}, {'text': ',', 'isLink': False}, {'text': 'POLISCI 1020E', 'isLink': True}, {'text': ',', 'isLink': False}, {'text': 'ENGLISH 1020E', 'isLink': True}, {'text': ',', 'isLink': False}, {'text': 'ENGLISH 1022E', 'isLink': True}, {'text': ',', 'isLink': False}, {'text': 'ENGLISH 1024E', 'isLink': True}, {'text': ',', 'isLink': False}, {'text': 'or permission of Director of the Centre for American Studies.', 'isLink': False}]",[],[],[],"['ENGLISH 1024E', 'ENGLISH 1022E', 'AMERICAN 1020', 'POLISCI 1020E', 'ENGLISH 1020E']",[],[],[],Consult the Centre for American Studies office for details of current course offerings.,Western Main Campus,3 lecture hours.,0.5,AMERICAN
20,SELECTED TOPICS IN AMERICAN STUDIES,AMERICAN 3340F/G,"[{'text': 'At least 60% in ONE of:', 'isLink': False}, {'text': 'AMERICAN 1020', 'isLink': True}, {'text': ',', 'isLink': False}, {'text': 'the former History 1701E,', 'isLink': False}, {'text': ',', 'isLink': False}, {'text': 'POLISCI 1020E', 'isLink': True}, {'text': ',', 'isLink': False}, {'text': 'ENGLISH 1020E', 'isLink': True}, {'text': ',', 'isLink': False}, {'text': 'ENGLISH 1022E', 'isLink': True}, {'text': ',', 'isLink': False}, {'text': 'ENGLISH 1024E', 'isLink': True}, {'text': ',', 'isLink': False}, {'text': 'or permission of Director of the Centre for American Studies.', 'isLink': False}]",[],[],[],"['ENGLISH 1024E', 'ENGLISH 1022E', 'AMERICAN 1020', 'POLISCI 1020E', 'ENGLISH 1020E']",[],[],[],Consult the Centre for American Studies office for details of current course offerings.,Western Main Campus,3 lecture hours.,0.5,AMERICAN
21,INDEPENDENT THESIS IN AMERICAN STUDIES,AMERICAN 4420E,[],[],[],[],[],[],[],[],The subject will be selected by students in consultation with an instructor of their choice willing to give the course. This course will normally be open to fourth-year honours students who have achieved an average of at least 80% in their third year of the American Studies program. Permission of the department is also required.,Western Main Campus,Restricted to Honours Students.,1.0,AMERICAN
22,DIRECTED READINGS IN AMERICAN STUDIES,AMERICAN 4430F/G,[],[],[],[],[],[],[],[],The subject will be selected by students in consultation with an instructor of their choice willing to give the course. This course will normally be open only to fourth-year honours students who have achieved an average of at least 80% in their third year of the American Studies program. Permission of the department is also required.,Western Main Campus,Restricted to Honours Students.,0.5,AMERICAN
23,INTRODUCTION TO PROGRAMMING AND BASIC DATA ANALYSIS,ADS 2288F/G,"[{'text': '0.5 course from', 'isLink': False}, {'text': 'MATH 1229A/B', 'isLink': True}, {'text': ',', 'isLink': False}, {'text': 'MATH 1600A/B', 'isLink': True}, {'text': ',', 'isLink': False}, {'text': 'NMM 1411A/B', 'isLink': True}, {'text': '.', 'isLink': False}]","[{'text': 'Statistics 2864A/B,', 'isLink': False}, {'text': ',', 'isLink': False}, {'text': 'DATASCI 1200A/B', 'isLink': True}, {'text': '.', 'isLink': False}]",[],[],"['MATH 1600A/B', 'NMM 1411A/B', 'MATH 1229A/B']",['DATASCI 1200A/B'],[],[],"Topics include computational linear algebra, numerical optimization, simulation, use of IDEs, and display of statistical data.",King's,"3 lecture hours, 2 lab hours.",0.5,ADS
24,INTRODUCTION TO ANALYTICS AND DECISION SCIENCE,ADS 2298A/B,"[{'text': '0.5 course from Analytics and Decision Sciences 2288A/B,', 'isLink': False}, {'text': ',', 'isLink': False}, {'text': 'DATASCI 1200A/B', 'isLink': True}, {'text': ',', 'isLink': False}, {'text': 'or', 'isLink': False}, {'text': 'STATS 2864A/B', 'isLink': True}, {'text': '; and 1.0 courses from any 1000-level courses in Applied Mathematics, Calculus, Mathematics, Numerical and Mathematical Methods, and/or Statistical Sciences.', 'isLink': False}]","[{'text': 'FINMOD 3817A/B', 'isLink': True}, {'text': ',', 'isLink': False}, {'text': 'STATS 4654A/B', 'isLink': True}, {'text': '.', 'isLink': False}]",[],"[{'text': 'Pre-or Corequisite(s):', 'isLink': False}, {'text': '0.5 course from:', 'isLink': False}, {'text': 'ECONOMIC 2122A/B', 'isLink': True}, {'text': ',', 'isLink': False}, {'text': 'ECONOMIC 2222A/B', 'isLink': True}, {'text': ',', 'isLink': False}, {'text': 'STATS 2035', 'isLink': True}, {'text': ',', 'isLink': False}, {'text': 'STATS 2141A/B', 'isLink': True}, {'text': ',', 'isLink': False}, {'text': 'STATS 2857A/B', 'isLink': True}, {'text': ',', 'isLink': False}, {'text': 'or by permission of the School of Management, Economics, and Mathematics.', 'isLink': False}]","['DATASCI 1200A/B', 'STATS 2864A/B']","['STATS 4654A/B', 'FINMOD 3817A/B']",[],"['STATS 2857A/B', 'STATS 2035', 'ECONOMIC 2222A/B', 'STATS 2141A/B', 'ECONOMIC 2122A/B']","Decision analysis, linear programming, integer programming, statistical distributions, Markov chains, Monte Carlo simulation, queuing, discrete event simulation. Students will use a variety of tools to investigate applications including transportation networks, revenue management, production scheduling and sports analytics.",King's,"3 lecture hours, 2 lab hours.",0.5,ADS
25,"MODELING, RISK AND SIMULATION",ADS 3293A/B,"[{'text': 'ADS 2298A/B', 'isLink': True}, {'text': ',', 'isLink': False}, {'text': '0.5 from', 'isLink': False}, {'text': 'MATH 1229A/B', 'isLink': True}, {'text': 'or', 'isLink': False}, {'text': 'MATH 1600A/B', 'isLink': True}, {'text': '; 1.0 from', 'isLink': False}, {'text': 'ECONOMIC 2122A/B', 'isLink': True}, {'text': ',', 'isLink': False}, {'text': 'ECONOMIC 2123A/B', 'isLink': True}, {'text': ',', 'isLink': False}, {'text': 'ECONOMIC 2222A/B', 'isLink': True}, {'text': ',', 'isLink': False}, {'text': 'ECONOMIC 2223A/B', 'isLink': True}, {'text': 'or', 'isLink': False}, {'text': 'STATS 2035', 'isLink': True}, {'text': ',', 'isLink': False}, {'text': 'STATS 2857A/B', 'isLink': True}, {'text': ',', 'isLink': False}, {'text': 'STATS 2858A/B', 'isLink': True}, {'text': '.', 'isLink': False}]",[],[],[],"['ADS 2298A/B', 'ECONOMIC 2123A/B', 'STATS 2035', 'ECONOMIC 2222A/B', 'MATH 1229A/B', 'STATS 2857A/B', 'STATS 2858A/B', 'MATH 1600A/B', 'ECONOMIC 2122A/B', 'ECONOMIC 2223A/B']",[],[],[],"Stochastic optimization modelling, decision making under uncertainty, simulation modelling, regression and forecasting models, and sensitivity analysis.",King's,"3 lecture hours, 1 lab hour.",0.5,ADS
26,DATA VISUALIZATION AND STATISTICAL ANALYSIS,ADS 3864A/B,"[{'text': '0.5 course from', 'isLink': False}, {'text': 'ADS 2288F/G', 'isLink': True}, {'text': 'or Statistics 2864A/B; and 1.0 course from', 'isLink': False}, {'text': 'ECONOMIC 2122A/B', 'isLink': True}, {'text': ',', 'isLink': False}, {'text': 'ECONOMIC 2222A/B', 'isLink': True}, {'text': ',', 'isLink': False}, {'text': 'ECONOMIC 2123A/B', 'isLink': True}, {'text': ',', 'isLink': False}, {'text': 'ECONOMIC 2223A/B', 'isLink': True}, {'text': ',', 'isLink': False}, {'text': 'STATS 2035', 'isLink': True}, {'text': ',', 'isLink': False}, {'text': 'STATS 2857A/B', 'isLink': True}, {'text': ',', 'isLink': False}, {'text': 'STATS 2858A/B', 'isLink': True}, {'text': '; or by permission of the School of Management, Economics, and Mathematics.', 'isLink': False}]",[],[],[],"['ECONOMIC 2123A/B', 'STATS 2035', 'ECONOMIC 2222A/B', 'STATS 2857A/B', 'ADS 2288F/G', 'STATS 2858A/B', 'ECONOMIC 2122A/B', 'ECONOMIC 2223A/B']",[],[],[],"Statistical programming in a high-level language, data visualization design principles, extracting insights from data visualization, data mining and machine learning, data classification; visualization of multivariate, time-series, and hierarchical data.",King's,"3 lecture hours, 2 lab hours.",0.5,ADS
27,PROFESSIONAL ANALYTICS,ADS 4293F/G,"[{'text': 'ADS 2298A/B', 'isLink': True}, {'text': ',', 'isLink': False}, {'text': '0.5 from', 'isLink': False}, {'text': 'MATH 1229A/B', 'isLink': True}, {'text': 'or', 'isLink': False}, {'text': 'MATH 1600A/B', 'isLink': True}, {'text': '; 1.0 from', 'isLink': False}, {'text': 'ECONOMIC 2122A/B', 'isLink': True}, {'text': ',', 'isLink': False}, {'text': 'ECONOMIC 2123A/B', 'isLink': True}, {'text': ',', 'isLink': False}, {'text': 'ECONOMIC 2222A/B', 'isLink': True}, {'text': ',', 'isLink': False}, {'text': 'ECONOMIC 2223A/B', 'isLink': True}, {'text': 'or', 'isLink': False}, {'text': 'STATS 2035', 'isLink': True}, {'text': ',', 'isLink': False}, {'text': 'STATS 2857A/B', 'isLink': True}, {'text': ',', 'isLink': False}, {'text': 'STATS 2858A/B', 'isLink': True}, {'text': '.', 'isLink': False}]",[],[],[],"['ADS 2298A/B', 'ECONOMIC 2123A/B', 'STATS 2035', 'ECONOMIC 2222A/B', 'MATH 1229A/B', 'STATS 2857A/B', 'STATS 2858A/B', 'MATH 1600A/B', 'ECONOMIC 2122A/B', 'ECONOMIC 2223A/B']",[],[],[],"Practical analytics and software tools explored through case analyses. Linear programming, statistical analysis, decision analysis, game theory, inventory analysis, queuing theory, simulation, Markovian decision model, and forecasting will be applied in a variety of scenarios.",King's,"3 hours, 1 lab hour.",0.5,ADS
28,ANALYTICS CONSULTING PROJECT,ADS 4294F/G,"[{'text': 'Completion of', 'isLink': False}, {'text': 'PHILOSOP 2293A/B', 'isLink': True}, {'text': '.', 'isLink': False}]",[],[],[],['PHILOSOP 2293A/B'],[],[],[],"Approaches for solving complex problems are learned and then applied to a group-based analytics consulting project done in collaboration with a not-for-profit, educational, private, or government partner.",King's,3 hours.,0.5,ADS
29,SYSTEMIC ANATOMY OF THE HUMAN BODY,ANATCELL 2200A/B,[],"[{'text': 'HEALTSCI 2300A/B', 'isLink': True}, {'text': ',', 'isLink': False}, {'text': 'HEALTSCI 2330A/B', 'isLink': True}, {'text': ',', 'isLink': False}, {'text': 'HEALTSCI 3300A/B', 'isLink': True}, {'text': ',', 'isLink': False}, {'text': 'KINESIOL 2222A/B', 'isLink': True}, {'text': ',', 'isLink': False}, {'text': 'KINESIOL 3222A/B', 'isLink': True}, {'text': ',', 'isLink': False}, {'text': 'the former Anatomy and Cell Biology 2221, the former Anatomy and Cell Biology 3319.', 'isLink': False}]",[],[],[],"['KINESIOL 2222A/B', 'HEALTSCI 2300A/B', 'KINESIOL 3222A/B', 'HEALTSCI 3300A/B', 'HEALTSCI 2330A/B']",[],[],"An introduction to the gross anatomical structures and functional connections of the core systems in the human body, including the musculoskeletal, circulatory, respiratory, gastrointestinal, urinary, and reproductive systems. Demonstrations reinforce and extend the lectures.",Western Main Campus,"2 lecture hours, 1 demonstration hour. This is not a laboratory course.",0.5,ANATCELL
30,FUNCTIONAL HUMAN NEUROANATOMY,ANATCELL 3200A/B,"[{'text': 'Registration in third or fourth year. A background in introductory biology is recommended.', 'isLink': False}]","[{'text': 'HEALTSCI 3300A/B', 'isLink': True}, {'text': ',', 'isLink': False}, {'text': 'KINESIOL 3222A/B', 'isLink': True}, {'text': ',', 'isLink': False}, {'text': 'REHABSCI 3062A/B', 'isLink': True}, {'text': ',', 'isLink': False}, {'text': 'the former Anatomy and Cell Biology 2221, the former Anatomy and Cell Biology 3319.', 'isLink': False}]",[],[],[],"['HEALTSCI 3300A/B', 'KINESIOL 3222A/B', 'REHABSCI 3062A/B']",[],[],"An introduction to the central nervous system (CNS). Topics include: the basic structures and functional interconnections between subdivisions of the brain, spinal cord and autonomic nervous systems; CNS development; structures that protect and support the brain; and clinical conditions associated with disruption of the CNS. Demonstrations reinforce lecture material.",Western Main Campus,"2 lecture hours, 1 demonstration hour. This is not a laboratory course.",0.5,ANATCELL
31,MAMMALIAN HISTOLOGY,ANATCELL 3309,"[{'text': 'Registration in third or fourth year. Note: This course is recommended for students with a background in introductory biology.', 'isLink': False}]",[],[],[],[],[],[],[],"A detailed study of the cellular and microscopic structure of the various tissues and organ systems of the body, with emphasis on man and other mammals used in medical research. Systems are examined stressing the relations of structure to function.",Western Main Campus,"2 lecture hours, 3 laboratory hours.",1.0,ANATCELL
32,MEDICAL CELL BIOLOGY,ANATCELL 3329A/B,"[{'text': 'BIOLOGY 2382A/B', 'isLink': True}, {'text': 'and', 'isLink': False}, {'text': 'BIOLOGY 2290F/G', 'isLink': True}, {'text': 'with marks of at least 60% in each.', 'isLink': False}]","[{'text': 'The former Anatomy and Cell Biology 4429A.', 'isLink': False}]",[],"[{'text': 'Pre-or Corequisite(s):', 'isLink': False}, {'text': 'BIOLOGY 3316A/B', 'isLink': True}, {'text': 'or', 'isLink': False}, {'text': 'PHYSIOL 3140A', 'isLink': True}, {'text': '.', 'isLink': False}]","['BIOLOGY 2382A/B', 'BIOLOGY 2290F/G']",[],[],"['PHYSIOL 3140A', 'BIOLOGY 3316A/B']","The study of the molecules and functions common to mammalian cells, the specializations that make differentiated cells distinct, and the diseases that result from the dysregulation or loss of these cellular functions. Topics will include cellular organization, biogenesis of organelles, and growth and differentiation from an experimental perspective.",Western Main Campus,"2 lecture hours, 1 tutorial hour.",0.5,ANATCELL
33,MODERN APPROACHES IN BIOMEDICAL RESEARCH,ANATCELL 3700F/G,"[{'text': 'BIOLOGY 2382A/B', 'isLink': True}, {'text': 'with a mark of at least 60%; and one of', 'isLink': False}, {'text': 'BIOLOGY 2290F/G', 'isLink': True}, {'text': 'or', 'isLink': False}, {'text': 'BIOLOGY 2581A/B', 'isLink': True}, {'text': 'with a mark of at least 60%.', 'isLink': False}]","[{'text': 'PATHOL 3700F/G', 'isLink': True}, {'text': '.', 'isLink': False}]",[],"[{'text': 'Pre-or Corequisite(s):', 'isLink': False}, {'text': 'BIOLOGY 3316A/B', 'isLink': True}, {'text': 'or', 'isLink': False}, {'text': 'PHYSIOL 3140A', 'isLink': True}, {'text': '.', 'isLink': False}]","['BIOLOGY 2382A/B', 'BIOLOGY 2581A/B', 'BIOLOGY 2290F/G']",['PATHOL 3700F/G'],[],"['PHYSIOL 3140A', 'BIOLOGY 3316A/B']","The focus is on the various research approaches, disease models, experimental designs, and analytical methods used to study and evaluate human disease. The course will use contemporary learning tools and a variety of evaluation and assessment methods. Examples will be taken from major diseases such as cancer and neurodegenerative disorders.",Western Main Campus,3 lecture/tutorial hours per week. Cross-listed with Pathology 3700F/G.,0.5,ANATCELL
