WRITING 3221F/G|CRIME SCENE TO COURTROOM: FORENSIC WRITING|Writing 2297G if taken in 2014-15 or 2013-14.|At least 65% in one of Writing 2101F/G, Writing 2125F/G, Writing 2111F/G, Writing 2130F/G or Writing 2131F/G; or at least 65% in one of Writing 1000F/G, Writing 1030F/G, or Writing 1031F/G; or at least 65% in each of MIT 1020E (or both of MIT 1021F/G and MIT 1022F/G) and MIT 1025F/G; or permission of the Department (consult the Undergraduate Program Director, Writing).|From true crime exposés to writing search warrants and wiretaps, this course introduces students to the process of investigating and documenting incidents likely to result in criminal prosecution, litigation, or inquiry. Studentswill also learn the art of drafting rhetorically complex documents capable of withstanding public, political, and media scrutiny.|Western Main Campus|3 lecture hours.
WRITING 3220F/G|OUTSIDE THE ENVELOPE:ADVANCED PROFESSIONAL COMMUNICATION|Writing 2292G if taken in 2013-14.|At least 70% in one of Writing 1030F/G or Writing 1031F/G, or 65% in one of Writing 2111F/G, Writing 2130F/G or Writing 2131F/G, or permission of the Department (consult the Undergraduate Program Director, Writing).|This course will explore the parameters of professional communication, combining theoretical and practical approaches to the topic. Students will learn to apply new approaches to thinking, problem solving, and writing, in areas such as oral presentation and instructional design.|Western Main Campus|3 lecture hours
WRITING 3100F/G|WRITING AND ANTI-RACIST PERSPECTIVES||Writing 1000F/G, Writing 1020F/G, Writing 1021F/G, Writing 1022F/G, Writing 1025F/G, Writing 1030F/G, Writing 1031F/G, Writing 2101F/G or Writing 2111F/G, and Year 3 or 4 standing; or permission of the Department.|In this seminar, students will engage with theorists who interrogate academic discourse in general, and Writing Studies in particular, as sites for the creation and maintenance of racial hierarchies. They will consider approaches to writing instruction that centre non-white identities and concerns, and facilitate anti-racist engagement with current pedagogic frameworks.|King's|3 hours.
WRITING 2530A/B|TV OR NOT TV: WRITING FOR THE TELEVISION INDUSTRY|Writing 2500B if taken F/W16 or F/W17.||This course teaches students how to write and pitch creative projects reflecting today’s dominant television broadcast models. By exploring a variety of formats and genres, this course will also help prepare students for professional careers in writing and production in the television industry in both Canada and the United States.|Western Main Campus|3 lecture hours.
WRITING 2520A/B|WRITE NOW! - WRITERS ON WRITING|Writing 2504A if taken F/W16 or F/W17.||Through a series of guest lectures by contemporary writers, this course explores the art, craft, and process of creative writing in a variety of genres. Course topics include inspiration, overcoming creative blocks, revision, social media, publishing, literary citizenship, and the writing life.|Western Main Campus|3 lecture hours.
WRITING 2505A/B|SPECIAL TOPICS IN WRITING STUDIES|||Please consult the Writing Studies Office for current or anticipated offerings.|Western Main Campus|2 lecture hours.
WRITING 2504A/B|SPECIAL TOPICS IN WRITING STUDIES|||Please consult the Writing Studies Office for current or anticipated offerings.|Western Main Campus|2 lecture hours.
WRITING 2503A/B|SPECIAL TOPICS IN WRITING STUDIES|||Please consult the Writing Studies Office for current or anticipated offerings.|Western Main Campus|2 lecture hours, 1 tutorial or lab hour.
WRITING 2502A/B|SPECIAL TOPICS IN WRITING STUDIES|||Please consult the Writing Studies Office for current or anticipated offerings.|Western Main Campus|2 lecture hours, 1 tutorial or lab hour.
WRITING 2501A/B|SPECIAL TOPICS IN WRITING STUDIES|||Please consult the Writing Studies Office for current or anticipated offerings.|Western Main Campus|3 lecture hours.
WRITING 2500A/B|SPECIAL TOPICS IN WRITING STUDIES|||Please consult the Writing Studies Office for current or anticipated offerings.|Western Main Campus|3 lecture hours.
WRITING 2301F/G/Z|TUTORING WRITERS||Either Writing 1000F/G, Writing 1020F/G, Writing 1021F/G, Writing 1022F/G, Writing 1025F/G, Writing 1030F/G, or Writing 1031F/G with at least 70%, or Writing 2101F/G or Writing 2111F/G with at least 65%, and Year 3 or 4 standing; or permission of the Department.|Students will critically engage with influential theoretical paradigms and pedagogic approaches in composition and writing centre studies. They will apply concepts and ideas drawn from their class study to the work of providing writing advice as part of a supervised tutoring practicum.|King's|3 hours.Note: This course includes an active learning/practicum component that will account for a substantial proportion of the course grade.
WRITING 2298F/G|SPECIAL TOPICS IN WRITING||At least 65% in one of Writing 2101F/G, Writing 2125F/G, Writing 2111F/G, Writing 2130F/G or Writing 2131F/G; or at least 65% in one of Writing 1000F/G, Writing 1030F/G, or Writing 1031F/G; or at least 65% in each of MIT 1020E (or both of MIT 1021F/G and MIT 1022F/G) and MIT 1025F/G; or permission of the Department (consult the Undergraduate Program Director, Writing).|Please consult the Writing Studies Office for current or anticipated offerings.|Western Main Campus|3 hours.
WRITING 2297F/G|SPECIAL TOPICS IN WRITING||At least 65% in one of Writing 2101F/G, Writing 2125F/G, Writing 2111F/G, Writing 2130F/G or Writing 2131F/G; or at least 65% in one of Writing 1000F/G, Writing 1030F/G, or Writing 1031F/G; or at least 65% in each of MIT 1020E (or both of MIT 1021F/G and MIT 1022F/G) and MIT 1025F/G; or permission of the Department (consult the Undergraduate Program Director, Writing).|Please consult the Writing Studies Office for current or anticipated offerings.|Western Main Campus|3 hours.
WRITING 2296F/G|SPECIAL TOPICS IN WRITING||At least 65% in one of Writing 2101F/G, Writing 2125F/G, Writing 2111F/G, Writing 2130F/G or Writing 2131F/G; or at least 65% in one of Writing 1000F/G, Writing 1030F/G, or Writing 1031F/G; or at least 65% in each of MIT 1020E (or both of MIT 1021F/G and MIT 1022F/G) and MIT 1025F/G; or permission of the Department (consult the Undergraduate Program Director, Writing).|Please consult the Writing Studies Office for current or anticipated offerings.|Western Main Campus|3 hours.
WRITING 2295F/G|SPECIAL TOPICS IN WRITING||At least 65% in one of Writing 2101F/G, Writing 2125F/G, Writing 2111F/G, Writing 2130F/G or Writing 2131F/G; or at least 65% in one of Writing 1000F/G, Writing 1030F/G, or Writing 1031F/G; or at least 65% in each of MIT 1020E (or both of MIT 1021F/G and MIT 1022F/G) and MIT 1025F/G; or permission of the Department (consult the Undergraduate Program Director, Writing).|Please consult the Writing Studies Office for current or anticipated offerings.|Western Main Campus|3 hours.
WRITING 2294F/G|SPECIAL TOPICS IN WRITING||At least 65% in one of Writing 2101F/G, Writing 2125F/G, Writing 2111F/G, Writing 2130F/G or Writing 2131F/G; or at least 65% in one of Writing 1000F/G, Writing 1030F/G, or Writing 1031F/G; or at least 65% in each of MIT 1020E (or both of MIT 1021F/G and MIT 1022F/G) and MIT 1025F/G; or permission of the Department (consult the Undergraduate Program Director, Writing).|Please consult the Writing Studies Office for current or anticipated offerings.|Western Main Campus|3 hours.
WRITING 2293F/G|SPECIAL TOPICS IN WRITING||At least 65% in one of Writing 2101F/G, Writing 2125F/G, Writing 2111F/G, Writing 2130F/G or Writing 2131F/G; or at least 65% in one of Writing 1000F/G, Writing 1030F/G, or Writing 1031F/G; or at least 65% in each of MIT 1020E (or both of MIT 1021F/G and MIT 1022F/G) and MIT 1025F/G; or permission of the Department (consult the Undergraduate Program Director, Writing).|Please consult the Writing Studies Office for current or anticipated offerings.|Western Main Campus|3 hours.
WRITING 2292F/G|SPECIAL TOPICS IN WRITING||At least 65% in one of Writing 2101F/G, Writing 2125F/G, Writing 2111F/G, Writing 2130F/G or Writing 2131F/G; or at least 65% in one of Writing 1000F/G, Writing 1030F/G, or Writing 1031F/G; or at least 65% in each of MIT 1020E (or both of MIT 1021F/G and MIT 1022F/G) and MIT 1025F/G; or permission of the Department (consult the Undergraduate Program Director, Writing).|Please consult the Writing Studies Office for current or anticipated offerings.|Western Main Campus|3 hours.
WRITING 2291F/G|SPECIAL TOPICS IN WRITING||At least 65% in one of Writing 2101F/G, Writing 2125F/G, Writing 2111F/G, Writing 2130F/G or Writing 2131F/G; or at least 65% in one of Writing 1000F/G, Writing 1030F/G, or Writing 1031F/G; or at least 65% in each of MIT 1020E (or both of MIT 1021F/G and MIT 1022F/G) and MIT 1025F/G; or permission of the Department (consult the Undergraduate Program Director, Writing).|Please consult the Writing Studies Office for current or anticipated offerings.|Western Main Campus|3 hours.
WRITING 2262F/G|WRITING INSTRUCTION AND DISABILITY STUDIES FRAMEWORKS||Writing 1000F/G, Writing 1020F/G, Writing 1021F/G, Writing 1022F/G, Writing 1025F/G, Writing 1030F/G, or Writing 1031F/G with at least 70%, or Writing 2101F/G or Writing 2111F/G with at least 65%; or permission of the Department.|This course invites students to analyze the implicit ableism of academic writing, and to engage with Disability Studies theorists who have foregrounded access and inclusion in teaching practice (in curricula, pedagogy, and assessment). Its active learning/practicum component will account for a substantial proportion of the course grade.|King's|3 hours, Cross-listed with Disability Studies 2262F/G.
WRITING 2260F/G|WORKPLACE WRITING: EXPLORING THE CULTURES OF WORK||Either Writing 1020F/G, Writing 1021F/G, Writing 1022F/G, Writing 1025F/G, Writing 1030F/G, or Writing 1031F/G with at least 70%, or Writing 2101F/G, or Writing 2111F/G with at least 65%; or permission of the Department.|This course will introduce students to the rhetorical demands of workplace writing, including interpersonal and cross-cultural exchanges, working with families, advocacy, and writing stylesoriented to the care-giving professions. Genres discussed will include resumes, cover letters, proposals, case notes, oral presentations, multimedia platforms, and web promotion.|King's|3 hours.
WRITING 2230F/G|WRITING AND DISCOURSES OF CHILDHOOD||Writing 1002F/G, Writing 1020F/G, Writing 1021F/G, Writing 1022F/G, Writing 1025F/G, Writing 1030F/G, Writing 1031F/G, Writing 1032F/G, the former Writing 0002F/G, or permission of the Department.|In this course, students will engage with debates and interrogate texts that focus on childhood as a social, cultural, legal, and literary construct. Exploring genres that are both academic and public-facing, students will build advanced communication skills as they engage in scholarly conversations around childhood.|King's|3 hours.
WRITING 2227F/G|CRIME WRITING: BLACK DAHLIAS, RED HERRINGS AND TEQUILA SUNRISES|Writing 2291F if taken in 2013-2014.|At least 65% in one of Writing 2101F/G, Writing 2125F/G, Writing 2111F/G, Writing 2130F/G or Writing 2131F/G; or at least 65% in one of Writing 1000F/G, Writing 1030F/G, or Writing 1031F/G; or at least 65% in each of MIT 1020E (or both of MIT 1021F/G and MIT 1022F/G) and MIT 1025F/G; or permission of the Department (consult the Undergraduate Program Director, Writing).|This course introduces students to the process of writing crime fiction for a variety of media. Drawing on classic works, students will also learn about the criminal mind and investigative procedure as they create realistic portrayals of the genre's archetypal crimes, including murder, ransom kidnapping, and the theft of antiquities.|Western Main Campus|3 lecture hours
WRITING 2226F/G|OUT OF THE BOOK: CONTEMPORARY EXPERIMENTAL WRITING PRACTICES|Writing 2295G if taken in 2012-2013 or 2013-2014|At least 65% in one of Writing 2101F/G, Writing 2125F/G, Writing 2111F/G, Writing 2130F/G or Writing 2131F/G; or at least 65% in one of Writing 1000F/G, Writing 1030F/G, or Writing 1031F/G; or at least 65% in each of MIT 1020E (or both of MIT 1021F/G and MIT 1022F/G) and MIT 1025F/G; or permission of the Department (consult the Undergraduate Program Director, Writing).|In this experimental creative writing course students use a variety of media, online platforms, and source material to create innovative projects that challenge traditional modes of literary expression. They will be introduced to experimental writers/artists - Marcel Duchamp, William Burroughs, Kathy Acker, Laurie Anderson, etc. Assignments will incorporate appropriation, collage, and sampling.|Western Main Campus|3 lecture hours
WRITING 2225F/G|THE INSIDE TRACK: SPORT WRITING|Writing 2296G 2010-2012; Writing 2296F 2012-2013.|At least 65% in one of Writing 2101F/G, Writing 2125F/G, Writing 2111F/G, Writing 2130F/G or Writing 2131F/G; or at least 65% in one of Writing 1000F/G, Writing 1030F/G, or Writing 1031F/G; or at least 65% in each of MIT 1020E (or both of MIT 1021F/G and MIT 1022F/G) and MIT 1025F/G; or permission of the Department (consult the Undergraduate Program Director, Writing).|Good sports writing fuels the fans' love of the game and combines elements of emotion, event coverage, and opinion. This course offers students a chance to cover the world of sports through interviews, attending events, and going behind the scenes to create stories about these popular pastimes.|Western Main Campus|3 hours.
WRITING 2224F/G|WRITING FOR THE BIG SCREEN: INTRODUCTION TO FEATURE FILM WRITING|Writing 2292G 2009-2013.|At least 65% in one of Writing 2101F/G, Writing 2125F/G, Writing 2111F/G, Writing 2130F/G or Writing 2131F/G; or at least 65% in one of Writing 1000F/G, Writing 1030F/G, or Writing 1031F/G; or at least 65% in each of MIT 1020E (or both of MIT 1021F/G and MIT 1022F/G) and MIT 1025F/G; or permission of the Department (consult the Undergraduate Program Director, Writing).|Explore the art of writing a feature-length screenplay in a workshop setting. Course work focuses on the fundamental elements of screenplay theory while the workshop guides students through the stages of the screenwriting process. Students will complete the first act of a feature-length film and collaborate on a film trailer.|Western Main Campus|3 hours.
WRITING 2223F/G|FASHION WRITING:  ELEMENTS OF STYLE|Writing 2293G 2010-2012; Writing 2293F 2012-2013.|At least 65% in one of Writing 2101F/G, Writing 2125F/G, Writing 2111F/G, Writing 2130F/G or Writing 2131F/G; or at least 65% in one of Writing 1000F/G, Writing 1030F/G, or Writing 1031F/G; or at least 65% in each of MIT 1020E (or both of MIT 1021F/G and MIT 1022F/G) and MIT 1025F/G; or permission of the Department (consult the Undergraduate Program Director, Writing).|Using high fashion magazines as well as select books, film/video, and internet resources, this course covers the basic areas of fashion writing (review, trend reports, profiles, etc.) and explores how fashion can be used as a lens to discuss other areas of cultural and social significance.|Western Main Campus|3 hours.
WRITING 2222F/G|FOOD WRITING|Writing 2295G (2008-2009, 2009-2010, 2010-2011).|At least 65% in one of Writing 2101F/G, Writing 2125F/G, Writing 2111F/G, Writing 2130F/G or Writing 2131F/G; or at least 65% in one of Writing 1000F/G, Writing 1030F/G, or Writing 1031F/G; or at least 65% in each of MIT 1020E (or both of MIT 1021F/G and MIT 1022F/G) and MIT 1025F/G; or permission of the Department (consult the Undergraduate Program Director, Writing).|"In the novel ""Like Water for Chocolate"", Mexican author Laura Esquivel reveals the powerful force of food to educate, and to influence emotions, culture and life. In this course students will practice food writing (through memoir, history, reportage, biography and narrative) while developing specific research methods to understand food systems."|Western Main Campus|3 lecture hours.
WRITING 2220F/G|RENEWING YOUR POETIC LICENSE: INTRODUCTION TO WRITING POETRY|Writing 2292F/G (2009 -2010).|At least 65% in one of Writing 2101F/G, Writing 2125F/G, Writing 2111F/G, Writing 2130F/G or Writing 2131F/G; or at least 65% in one of Writing 1000F/G, Writing 1030F/G, or Writing 1031F/G; or at least 65% in each of MIT 1020E (or both of MIT 1021F/G and MIT 1022F/G) and MIT 1025F/G; or permission of the Department (consult the Undergraduate Program Director, Writing).|This writing workshop examines a variety of techniques for writing contemporary poetry. Students are introduced to modern and contemporary poets from diverse backgrounds. Assignments, readings, in-class writing, and discussions focus on the fundamental elements of poetry such as image, metaphor, point of view, voice, typography, sound, meter, rhythm, and form.|Western Main Campus|3 lecture hours.
WRITING 2219F/G|WORD TRAVELS: INTRODUCTION TO TRAVEL WRITING|Writing 2296F/G (2008-2009, 2009 - 2010.|At least 65% in one of Writing 2101F/G, Writing 2125F/G, Writing 2111F/G, Writing 2130F/G or Writing 2131F/G; or at least 65% in one of Writing 1000F/G, Writing 1030F/G, or Writing 1031F/G; or at least 65% in each of MIT 1020E (or both of MIT 1021F/G and MIT 1022F/G) and MIT 1025F/G; or permission of the Department (consult the Undergraduate Program Director, Writing).|Great travel writing is a balance of colourful description, practical advice and history. Students will learn a variety of article styles including personal essay, guidebook writing and destination pieces for a variety of publications. Relevant issues will also be discussed including the evolution of the genre and ethical issues.|Western Main Campus|3 lecture hours.
WRITING 2218F/G|TO MAKE A LONG STORY SHORT: INTRODUCTION TO WRITING SHORT FICTION|Writing 2295F/G (2009-2010; 2008-2009).|At least 65% in one of Writing 2101F/G, Writing 2125F/G, Writing 2111F/G, Writing 2130F/G or Writing 2131F/G; or at least 65% in one of Writing 1000F/G, Writing 1030F/G, or Writing 1031F/G; or at least 65% in each of MIT 1020E (or both of MIT 1021F/G and MIT 1022F/G) and MIT 1025F/G; or permission of the Department (consult the Undergraduate Program Director, Writing).|In this course students will develop not only fiction writing ability, but also critical reading skills. The short story will be the focus of the course. Students will produce their own short fictions based on professional models, instructor guidance, and class discussion.|Western Main Campus|3 lecture hours.
WRITING 2215F/G|ENCODING PERSUASION:  RHETORICAL THEORY|Writing 2292F (2008-2009).|At least 65% in one of Writing 2101F/G, Writing 2125F/G, Writing 2111F/G, Writing 2130F/G or Writing 2131F/G; or at least 65% in one of Writing 1000F/G, Writing 1030F/G, or Writing 1031F/G; or at least 65% in each of MIT 1020E (or both of MIT 1021F/G and MIT 1022F/G) and MIT 1025F/G; or permission of the Department (consult the Undergraduate Program Director, Writing).|This course introduces students to basic precepts of rhetorical theory, and their application to communication analysis and the practice of writing. Topics will include rhetorical argumentation, `publics' theory, and conceptions of rhetoric as both a social practice and a method.|Western Main Campus|3 lecture hours.
WRITING 2214F/G|MEMOIR, MEMORIES, & DISCLOSURE: WRITING CREATIVE NON-FICTION||At least 65% in one of Writing 2101F/G, Writing 2125F/G, Writing 2111F/G, Writing 2130F/G or Writing 2131F/G; or at least 65% in one of Writing 1000F/G, Writing 1030F/G, or Writing 1031F/G; or at least 65% in each of MIT 1020E (or both of MIT 1021F/G and MIT 1022F/G) and MIT 1025F/G; or permission of the Department (consult the Undergraduate Program Director, Writing).|This course is designed for students who wish to write what's true in the form of personal essay, memoir and literary journalism. We will explore how writers use narrative techniques and structure to create essays both to the traditional forms and challenge them in unexpected, important and engaging ways.|Western Main Campus|3 lecture hours.
